Date,Open,High,Low,Close,Volume,Adj Close
2006-12-29,142.06,142.54,141.43,141.62,45461200,132.08
2007-01-03,142.25,142.86,140.57,141.37,94807600,131.85
2007-01-04,141.23,142.05,140.61,141.67,69620600,132.13
2007-01-05,141.33,141.40,140.38,140.54,76645300,131.08
2007-01-08,140.82,141.41,140.25,141.19,71655000,131.68
2007-01-09,141.31,141.60,140.40,141.07,75680100,131.57
2007-01-10,140.58,141.57,140.30,141.54,72428000,132.01
2007-01-11,141.58,142.62,141.50,142.16,54476800,132.59
2007-01-12,142.15,143.24,142.11,143.24,55370600,133.60
2007-01-16,143.07,143.44,142.73,142.96,44871300,133.33
2007-01-17,142.85,143.46,142.73,143.02,50241400,133.39
2007-01-18,143.17,143.26,142.31,142.54,68177300,132.94
2007-01-19,142.54,143.10,142.46,142.82,56973000,133.20
2007-01-22,143.07,143.10,141.93,142.38,60253600,132.79
2007-01-23,142.26,143.08,142.06,142.80,54064400,133.19
2007-01-24,142.97,143.98,142.91,143.95,55834700,134.26
2007-01-25,143.86,143.92,142.01,142.26,73583800,132.68
2007-01-26,142.57,142.65,141.58,142.13,67255600,132.56
2007-01-29,142.19,142.80,141.74,142.05,66114600,132.49
2007-01-30,142.35,142.86,142.06,142.79,70407600,133.18
2007-01-31,142.63,144.13,142.40,143.75,91868600,134.07
2007-02-01,144.15,144.66,143.91,144.61,69312400,134.87
2007-02-02,144.73,144.95,144.38,144.81,49607000,135.06
2007-02-05,144.70,144.94,144.34,144.85,45705300,135.10
2007-02-06,144.97,145.03,144.33,144.89,57081300,135.13
2007-02-07,145.12,145.36,144.57,145.21,55669700,135.43
2007-02-08,144.78,145.12,144.27,145.02,70641000,135.26
2007-02-09,145.06,145.33,143.39,143.94,79084400,134.25
2007-02-12,143.94,144.04,143.19,143.45,65657000,133.79
2007-02-13,143.77,144.90,143.76,144.66,64081800,134.92
2007-02-14,144.80,145.90,144.78,145.61,66039400,135.81
2007-02-15,145.67,145.95,145.43,145.80,38715200,135.98
2007-02-16,145.44,145.76,145.23,145.73,39841800,135.92
2007-02-20,145.56,146.20,145.00,146.04,56911800,136.21
2007-02-21,145.61,146.07,145.35,145.98,63971600,136.15
2007-02-22,146.05,146.42,145.17,145.87,79067400,136.05
2007-02-23,145.74,145.79,145.03,145.30,71966200,135.52
2007-02-26,145.83,145.95,144.75,145.17,69192800,135.40
2007-02-27,143.88,144.20,139.00,139.50,274466500,130.11
2007-02-28,140.39,141.98,139.80,140.93,177536300,131.44
2007-03-01,139.34,141.25,138.05,140.51,212828600,131.05
2007-03-02,140.05,140.66,138.66,138.67,162574000,129.33
2007-03-05,137.93,139.58,137.33,137.35,143750400,128.10
2007-03-06,138.78,140.12,137.72,139.70,143333300,130.29
2007-03-07,139.59,140.46,139.40,139.56,115144900,130.16
2007-03-08,140.54,141.16,140.07,140.74,117891600,131.26
2007-03-09,141.31,141.42,140.08,140.78,107765100,131.30
2007-03-12,140.42,141.34,140.16,140.99,80366900,131.50
2007-03-13,140.18,140.77,138.04,138.25,190605200,128.94
2007-03-14,138.43,139.36,136.75,139.28,231853800,129.90
2007-03-15,138.97,139.99,138.80,139.47,132435900,130.08
2007-03-16,139.31,139.63,138.12,138.53,121531600,129.72
2007-03-19,139.26,140.33,139.15,140.20,96161200,131.28
2007-03-20,140.08,141.05,139.96,140.97,82147400,132.00
2007-03-21,141.10,143.65,140.82,143.29,152368700,134.17
2007-03-22,143.48,143.68,142.79,143.18,118942200,134.07
2007-03-23,143.28,143.81,143.15,143.39,74416800,134.27
2007-03-26,143.50,143.65,142.09,143.20,113787500,134.09
2007-03-27,143.12,143.16,142.39,142.86,99864600,133.77
2007-03-28,142.14,142.47,141.26,141.82,152907900,132.80
2007-03-29,142.54,142.61,141.19,141.97,139432700,132.94
2007-03-30,142.24,142.84,140.56,142.00,128194100,132.96
2007-04-02,142.16,142.46,141.48,142.16,79416400,133.11
2007-04-03,142.97,143.98,142.91,143.69,82417800,134.55
2007-04-04,143.69,143.95,143.16,143.85,63995200,134.70
2007-04-05,143.67,144.44,143.61,144.24,46822800,135.06
2007-04-09,144.65,144.80,144.15,144.44,50967400,135.25
2007-04-10,144.33,144.85,144.27,144.61,56620000,135.41
2007-04-11,144.82,144.86,143.54,144.02,106365700,134.86
2007-04-12,143.74,144.92,143.34,144.66,115534400,135.46
2007-04-13,144.90,145.32,144.36,145.32,84287000,136.07
2007-04-16,145.83,146.86,145.82,146.70,83064600,137.37
2007-04-17,146.97,147.40,146.65,147.09,108424100,137.73
2007-04-18,146.60,147.70,146.57,147.27,88345300,137.90
2007-04-19,146.55,147.40,146.36,147.23,102947700,137.86
2007-04-20,148.22,148.62,147.04,148.62,124114100,139.16
2007-04-23,148.37,148.73,147.97,148.06,77270800,138.64
2007-04-24,148.23,148.40,147.32,148.12,114471000,138.70
2007-04-25,148.73,149.66,148.02,149.48,108418800,139.97
2007-04-26,149.49,149.80,149.10,149.65,88741600,140.13
2007-04-27,149.09,149.74,148.84,149.53,108191100,140.02
2007-04-30,149.64,149.74,148.21,148.29,100874100,138.85
2007-05-01,148.42,149.47,147.67,148.67,134342700,139.21
2007-05-02,148.90,149.95,148.75,149.54,87129800,140.02
2007-05-03,149.97,150.40,149.73,150.35,86569700,140.78
2007-05-04,150.75,151.12,150.22,150.92,96409000,141.32
2007-05-07,150.88,151.20,150.81,150.95,63461400,141.35
2007-05-08,150.58,150.92,150.13,150.75,80584000,141.16
